nestbox,tag,tag2,rfid,date,band_number,ringing_age,sex
Ha238,,,989001031452574,2021-05-15T00:00:00Z,GG38843,1,
Ha238,,,989001031452538,2021-05-15T00:00:00Z,GG38844,1,
Ha238,,,989001031452501,2021-05-15T00:00:00Z,GG38845,1,
Ha238,,,989001031452633,2021-05-15T00:00:00Z,GG38846,1,
Ha238,,,989001031452234,2021-05-15T00:00:00Z,GG38847,1,
Ha238,,,989001031452570,2021-05-15T00:00:00Z,GG38848,1,
Ha238,,,989001031452588,2021-05-15T00:00:00Z,GG38849,1,
Ha238,,,989001031452576,2021-05-15T00:00:00Z,GG38850,1,
Ha281,,,989001031452446,2021-05-19T00:00:00Z,GG38506,1,
Ha281,,,989001031452647,2021-05-19T00:00:00Z,GG38507,1,
Ha281,,,989001031452631,2021-05-19T00:00:00Z,GG38508,1,
Ha281,,,989001031452657,2021-05-19T00:00:00Z,GG38509,1,
Ha281,,,989001031452448,2021-05-19T00:00:00Z,GG38510,1,
Ha281,,,989001031452227,2021-05-19T00:00:00Z,GG38511,1,
Ha277,,,989001031452414,2021-05-19T00:00:00Z,GG38512,1,
Ha277,,,989001031452659,2021-05-19T00:00:00Z,GG38513,1,
Ha277,,,989001031452634,2021-05-19T00:00:00Z,GG38514,1,
Ha277,,,989001031452303,2021-05-19T00:00:00Z,GG38515,1,
Ha277,,,989001031452419,2021-05-19T00:00:00Z,GG38516,1,
Ha277,,,989001031452616,2021-05-19T00:00:00Z,GG38517,1,
Ha277,,,989001031452676,2021-05-19T00:00:00Z,GG38518,1,
Ha277,,,989001031452275,2021-05-19T00:00:00Z,GG38519,1,
Ha277,,,989001031452403,2021-05-19T00:00:00Z,GG38520,1,
Ha277,,,989001031452519,2021-05-19T00:00:00Z,GG38521,1,
Ha287,,,989001026344822,2021-05-30T00:00:00Z,GG38530,1,
Ha287,,,989001031452542,2021-05-30T00:00:00Z,GG38531,1,
Ha287,,,989001031452648,2021-05-30T00:00:00Z,GG38532,1,
Ha287,,,989001031452612,2021-05-30T00:00:00Z,GG38533,1,
Ha287,,,989001031452672,2021-05-30T00:00:00Z,GG38534,1,
Ha287,,,989001031452471,2021-05-30T00:00:00Z,GG38535,1,
Ha287,,,989001031452572,2021-05-30T00:00:00Z,GG38536,1,
Ha276,,,989001031452515,2021-05-30T00:00:00Z,GG38537,1,
Ha276,,,989001031452358,2021-05-30T00:00:00Z,GG38538,1,
Ha276,,,989001031452666,2021-05-30T00:00:00Z,GG38539,1,
Ha276,,,989001031452474,2021-05-30T00:00:00Z,GG38540,1,
Ha276,,,989001031452539,2021-05-30T00:00:00Z,GG38541,1,
Ha276,,,989001026344839,2021-05-30T00:00:00Z,GG38542,1,
Ha276,,,989001031452273,2021-05-30T00:00:00Z,GG38543,1,
Ha276,,,989001031452239,2021-05-30T00:00:00Z,GG38544,1,
Ha275,,,989001031452199,2021-05-31T00:00:00Z,GG38545,1,
Ha275,,,989001031452401,2021-05-31T00:00:00Z,GG38546,1,
Ha275,,,989001031452694,2021-05-31T00:00:00Z,GG38547,1,
Ha275,,,989001031452599,2021-05-31T00:00:00Z,GG38548,1,
Ha275,,,989001031452356,2021-05-31T00:00:00Z,GG38549,1,
Ha275,,,989001031452601,2021-05-31T00:00:00Z,GG38550,1,
Ha275,,,989001031452662,2021-05-31T00:00:00Z,GG38551,1,
Ha130,,,989001031452686,2021-05-31T00:00:00Z,GG38552,1,
Ha130,,,989001031452208,2021-05-31T00:00:00Z,GG38553,1,
Ha130,,,989001031452590,2021-05-31T00:00:00Z,GG38554,1,
Ha130,,,989001031452383,2021-05-31T00:00:00Z,GG38555,1,
Ha130,,,989001031452691,2021-05-31T00:00:00Z,GG38556,1,
Ha130,,,989001031452682,2021-05-31T00:00:00Z,GG38557,1,
Ha130,,,989001031452319,2021-05-31T00:00:00Z,GG38558,1,
Ha130,,,989001031452340,2021-05-31T00:00:00Z,GG38559,1,
Ha130,,,989001031452456,2021-05-31T00:00:00Z,GG38560,1,
Ha283,,,989001031452313,2021-06-02T00:00:00Z,GG38562,1,
Ha283,,,989001031452623,2021-06-02T00:00:00Z,GG38563,1,
Ha283,,,989001031452646,2021-06-02T00:00:00Z,GG38564,1,
Ha283,,,989001031452664,2021-06-02T00:00:00Z,GG38565,1,
Ha283,,,989001031452571,2021-06-02T00:00:00Z,GG38566,1,
Ha283,,,989001026344942,2021-06-02T00:00:00Z,GG38567,1,
Ha283,,,989001031452668,2021-06-02T00:00:00Z,GG38568,1,
Ha283,,,989001031452552,2021-06-02T00:00:00Z,GG38569,1,
